10027	IGNORE	(Information Disclosure - Suspicious Comments)
10031	IGNORE	(Informational User Controllable HTML Element Attribute (Potential XSS))
10049	IGNORE	(Non-Storable Content - Fixed with cache control headers)
10054	IGNORE	(Cookie without SameSite Attribute - Fixed with SameSite=strict)
10055	IGNORE	(CSP: Wildcard Directive - Fixed with restrictive CSP)
10055	IGNORE	(CSP: script-src unsafe-inline)
10055	IGNORE	(CSP: style-src unsafe-inline)
10063	IGNORE	(Permissions Policy Header Not Set - Fixed with permissions policy header)
10109	IGNORE	(Modern Web Application)
10110	IGNORE	(Dangerous JS Functions)
90033	IGNORE	(Loosely Scoped Cookie - Fixed with secure cookie settings)
10096	IGNORE	(Timestamp Disclosure - Unix)
10112	IGNORE	Session Management Response Identified
10105	IGNORE	Authentication Credentials Captured
90003	IGNORE	Sub Resource Integrity Attribute Missing
10094	IGNORE	Base64 Disclosure
90005	IGNORE	Sec-Fetch-Dest Header is Missing
10003	IGNORE	Vulnerable JS Library
90004	IGNORE	Insufficient Site Isolation Against Spectre Vulnerability
2	IGNORE	Private IP Disclosure
90022	IGNORE	Application Error Disclosure
